cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
2016-01,289.0,9.0,1.0,0.0,3.0,5.0,2.0,6.0,6.0,4.0,3.0,16.0,5.0,11.0,2.0,0.0,9.0,4.0,6.0,4.0,7.0,9.0,3.0,6.0,8.0,12.0,2.0,2.0,7.0,6.0,14.0,12.0,10.0,12.0,8.0,17.0,20.0,21.0,6.0,2.0,10.0,12.0,15.0,20.0,17.0,20.0,15.0,26.0,18.0,26.0,4.0,1.0,7.0,11.0,10.0,2.0,3.0,0.0,4.0,9.0,3.0,4.0
2016-02,318.0,5.0,1.0,2.0,6.0,6.0,4.0,7.0,4.0,7.0,14.0,7.0,7.0,5.0,2.0,12.0,10.0,9.0,8.0,12.0,7.0,7.0,14.0,12.0,9.0,7.0,0.0,15.0,16.0,13.0,13.0,14.0,9.0,7.0,19.0,21.0,14.0,14.0,0.0,17.0,17.0,23.0,18.0,20.0,11.0,15.0,29.0,23.0,25.0,4.0,1.0,3.0,12.0,9.0,5.0,4.0,2.0,7.0,8.0,9.0,8.0,
2016-03,103.0,1.0,0.0,3.0,3.0,0.0,2.0,4.0,2.0,4.0,0.0,3.0,2.0,0.0,0.0,4.0,5.0,2.0,3.0,3.0,4.0,7.0,3.0,2.0,1.0,0.0,0.0,3.0,4.0,4.0,6.0,6.0,5.0,7.0,8.0,6.0,5.0,0.0,6.0,5.0,4.0,11.0,6.0,9.0,7.0,6.0,7.0,6.0,4.0,1.0,3.0,4.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,,
2016-04,39.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,1.0,9.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,,,
2016-05,213.0,6.0,5.0,7.0,5.0,4.0,6.0,8.0,2.0,5.0,3.0,0.0,3.0,5.0,3.0,6.0,2.0,1.0,3.0,7.0,10.0,9.0,5.0,0.0,4.0,12.0,4.0,1.0,5.0,9.0,9.0,18.0,14.0,16.0,6.0,0.0,12.0,13.0,13.0,11.0,14.0,12.0,17.0,24.0,11.0,20.0,5.0,2.0,7.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,,,,
2016-06,220.0,5.0,5.0,5.0,11.0,4.0,10.0,3.0,5.0,0.0,0.0,3.0,12.0,1.0,5.0,4.0,3.0,5.0,8.0,6.0,11.0,4.0,0.0,9.0,6.0,6.0,8.0,12.0,8.0,14.0,14.0,15.0,20.0,7.0,1.0,20.0,9.0,9.0,11.0,10.0,12.0,10.0,18.0,20.0,25.0,7.0,0.0,8.0,3.0,4.0,3.0,1.0,0.0,5.0,4.0,0.0,3.0,,,,,
2016-07,178.0,5.0,0.0,1.0,2.0,7.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,6.0,6.0,4.0,3.0,9.0,7.0,7.0,4.0,1.0,5.0,5.0,7.0,2.0,11.0,6.0,13.0,14.0,15.0,14.0,6.0,0.0,14.0,9.0,8.0,9.0,13.0,17.0,4.0,20.0,13.0,13.0,2.0,1.0,5.0,6.0,4.0,1.0,2.0,2.0,3.0,4.0,2.0,4.0,,,,,,
2016-08,199.0,3.0,5.0,5.0,6.0,3.0,6.0,1.0,0.0,5.0,2.0,3.0,1.0,4.0,1.0,0.0,12.0,7.0,9.0,3.0,3.0,5.0,6.0,5.0,5.0,4.0,11.0,9.0,15.0,14.0,12.0,2.0,2.0,9.0,13.0,8.0,12.0,11.0,17.0,12.0,18.0,14.0,12.0,5.0,0.0,4.0,5.0,1.0,5.0,3.0,2.0,2.0,3.0,5.0,4.0,,,,,,,
2016-09,234.0,3.0,3.0,2.0,7.0,5.0,4.0,1.0,2.0,6.0,2.0,3.0,5.0,5.0,5.0,6.0,5.0,5.0,7.0,3.0,12.0,8.0,7.0,3.0,8.0,13.0,5.0,15.0,10.0,20.0,3.0,1.0,11.0,11.0,10.0,12.0,9.0,9.0,11.0,21.0,16.0,17.0,8.0,1.0,13.0,6.0,3.0,4.0,2.0,1.0,1.0,5.0,8.0,4.0,,,,,,,,
2016-10,220.0,5.0,7.0,3.0,2.0,2.0,0.0,2.0,4.0,5.0,3.0,3.0,0.0,5.0,6.0,6.0,6.0,2.0,1.0,7.0,9.0,7.0,10.0,11.0,10.0,7.0,14.0,13.0,18.0,4.0,2.0,18.0,11.0,14.0,11.0,13.0,14.0,12.0,14.0,14.0,15.0,2.0,1.0,14.0,6.0,5.0,6.0,7.0,4.0,2.0,3.0,3.0,5.0,,,,,,,,,
