cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
2016-01,100.0,3.11,0.35,0.0,1.04,1.73,0.69,2.08,2.08,1.38,1.04,5.54,1.73,3.81,0.69,0.0,3.11,1.38,2.08,1.38,2.42,3.11,1.04,2.08,2.77,4.15,0.69,0.69,2.42,2.08,4.84,4.15,3.46,4.15,2.77,5.88,6.92,7.27,2.08,0.69,3.46,4.15,5.19,6.92,5.88,6.92,5.19,9.0,6.23,9.0,1.38,0.35,2.42,3.81,3.46,0.69,1.04,0.0,1.38,3.11,1.04,1.38
2016-02,100.0,1.57,0.31,0.63,1.89,1.89,1.26,2.2,1.26,2.2,4.4,2.2,2.2,1.57,0.63,3.77,3.14,2.83,2.52,3.77,2.2,2.2,4.4,3.77,2.83,2.2,0.0,4.72,5.03,4.09,4.09,4.4,2.83,2.2,5.97,6.6,4.4,4.4,0.0,5.35,5.35,7.23,5.66,6.29,3.46,4.72,9.12,7.23,7.86,1.26,0.31,0.94,3.77,2.83,1.57,1.26,0.63,2.2,2.52,2.83,2.52,
2016-03,100.0,0.97,0.0,2.91,2.91,0.0,1.94,3.88,1.94,3.88,0.0,2.91,1.94,0.0,0.0,3.88,4.85,1.94,2.91,2.91,3.88,6.8,2.91,1.94,0.97,0.0,0.0,2.91,3.88,3.88,5.83,5.83,4.85,6.8,7.77,5.83,4.85,0.0,5.83,4.85,3.88,10.68,5.83,8.74,6.8,5.83,6.8,5.83,3.88,0.97,2.91,3.88,2.91,0.97,0.0,0.0,0.97,1.94,0.0,1.94,,
2016-04,100.0,2.56,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,2.56,0.0,5.13,2.56,2.56,5.13,0.0,0.0,0.0,2.56,2.56,0.0,2.56,7.69,7.69,2.56,5.13,2.56,5.13,0.0,0.0,10.26,0.0,2.56,7.69,7.69,2.56,23.08,12.82,12.82,2.56,2.56,0.0,0.0,2.56,5.13,0.0,0.0,0.0,0.0,5.13,2.56,,,
2016-05,100.0,2.82,2.35,3.29,2.35,1.88,2.82,3.76,0.94,2.35,1.41,0.0,1.41,2.35,1.41,2.82,0.94,0.47,1.41,3.29,4.69,4.23,2.35,0.0,1.88,5.63,1.88,0.47,2.35,4.23,4.23,8.45,6.57,7.51,2.82,0.0,5.63,6.1,6.1,5.16,6.57,5.63,7.98,11.27,5.16,9.39,2.35,0.94,3.29,0.94,0.94,0.94,1.88,1.41,1.41,1.41,1.41,1.88,,,,
2016-06,100.0,2.27,2.27,2.27,5.0,1.82,4.55,1.36,2.27,0.0,0.0,1.36,5.45,0.45,2.27,1.82,1.36,2.27,3.64,2.73,5.0,1.82,0.0,4.09,2.73,2.73,3.64,5.45,3.64,6.36,6.36,6.82,9.09,3.18,0.45,9.09,4.09,4.09,5.0,4.55,5.45,4.55,8.18,9.09,11.36,3.18,0.0,3.64,1.36,1.82,1.36,0.45,0.0,2.27,1.82,0.0,1.36,,,,,
2016-07,100.0,2.81,0.0,0.56,1.12,3.93,1.12,1.69,0.56,1.12,0.56,1.12,2.25,3.37,3.37,2.25,1.69,5.06,3.93,3.93,2.25,0.56,2.81,2.81,3.93,1.12,6.18,3.37,7.3,7.87,8.43,7.87,3.37,0.0,7.87,5.06,4.49,5.06,7.3,9.55,2.25,11.24,7.3,7.3,1.12,0.56,2.81,3.37,2.25,0.56,1.12,1.12,1.69,2.25,1.12,2.25,,,,,,
2016-08,100.0,1.51,2.51,2.51,3.02,1.51,3.02,0.5,0.0,2.51,1.01,1.51,0.5,2.01,0.5,0.0,6.03,3.52,4.52,1.51,1.51,2.51,3.02,2.51,2.51,2.01,5.53,4.52,7.54,7.04,6.03,1.01,1.01,4.52,6.53,4.02,6.03,5.53,8.54,6.03,9.05,7.04,6.03,2.51,0.0,2.01,2.51,0.5,2.51,1.51,1.01,1.01,1.51,2.51,2.01,,,,,,,
2016-09,100.0,1.28,1.28,0.85,2.99,2.14,1.71,0.43,0.85,2.56,0.85,1.28,2.14,2.14,2.14,2.56,2.14,2.14,2.99,1.28,5.13,3.42,2.99,1.28,3.42,5.56,2.14,6.41,4.27,8.55,1.28,0.43,4.7,4.7,4.27,5.13,3.85,3.85,4.7,8.97,6.84,7.26,3.42,0.43,5.56,2.56,1.28,1.71,0.85,0.43,0.43,2.14,3.42,1.71,,,,,,,,
2016-10,100.0,2.27,3.18,1.36,0.91,0.91,0.0,0.91,1.82,2.27,1.36,1.36,0.0,2.27,2.73,2.73,2.73,0.91,0.45,3.18,4.09,3.18,4.55,5.0,4.55,3.18,6.36,5.91,8.18,1.82,0.91,8.18,5.0,6.36,5.0,5.91,6.36,5.45,6.36,6.36,6.82,0.91,0.45,6.36,2.73,2.27,2.73,3.18,1.82,0.91,1.36,1.36,2.27,,,,,,,,,
