CustomerKey,last_order_date,recency_days,frequency,monetary,R_score,F_score,M_score,FM_score,rfm_score_label,segment
301,2019-11-11,468,1,592.0,3,1,1,1,311,Promising
325,2020-01-04,414,3,5787.67,4,4,4,4,444,Loyal Customers
554,2019-12-05,444,2,951.71,3,2,2,2,322,Need Attention
1042,2018-03-06,1083,1,1124.91,1,1,2,2,112,Lost
1314,2017-12-19,1160,1,2539.86,1,1,3,2,113,Lost
1568,2021-02-10,11,4,4922.43,5,5,4,4,554,Loyal Customers
1585,2019-02-28,724,2,6700.62,2,2,4,3,224,At Risk
1626,2020-02-22,365,2,2940.35,4,2,3,2,423,Potential Loyalists
1642,2019-05-21,642,1,115.98,2,1,1,1,211,About To Sleep
1863,2020-08-08,197,2,2198.25,5,2,3,2,523,Potential Loyalists
2238,2020-03-06,352,2,579.94,4,2,1,2,421,Potential Loyalists
2248,2019-01-13,770,1,869.92,2,1,2,2,212,About To Sleep
2435,2018-02-02,1115,2,2474.9700000000003,1,2,3,2,123,Lost
2469,2019-11-07,472,1,158.76,3,1,1,1,311,Promising
2512,2020-02-29,358,2,3575.08,4,2,3,2,423,Potential Loyalists
2792,2019-05-06,657,1,70.13,2,1,1,1,211,About To Sleep
3002,2016-02-26,1822,1,932.27,1,1,2,2,112,Lost
3203,2018-12-15,799,2,6206.66,2,2,4,3,224,At Risk
3327,2018-08-11,925,1,2851.0,1,1,3,2,113,Lost
3575,2016-02-26,1822,1,774.0,1,1,1,1,111,Lost
3964,2017-02-08,1474,1,1506.0,1,1,2,2,112,Lost
4174,2020-11-25,88,2,4465.53,5,2,4,3,524,Potential Loyalists
5097,2016-01-05,1874,1,43.14,1,1,1,1,111,Lost
5445,2017-11-02,1207,1,600.0,1,1,1,1,111,Lost
5962,2018-06-22,975,2,5377.61,1,2,4,3,124,At Risk
6258,2020-12-24,59,1,4394.0,5,1,4,2,514,Potential Loyalists
6308,2019-07-05,597,1,1117.48,3,1,2,2,312,Need Attention
7109,2018-05-17,1011,1,494.95,1,1,1,1,111,Lost
7566,2019-08-31,540,1,3142.0,3,1,3,2,313,Need Attention
7700,2018-08-31,905,1,182.97,1,1,1,1,111,Lost
7783,2019-09-13,527,1,1299.95,3,1,2,2,312,Need Attention
8098,2019-08-21,550,1,2094.0,3,1,2,2,312,Need Attention
8181,2020-02-19,368,1,1991.94,4,1,2,2,412,Potential Loyalists
8789,2018-09-06,899,1,1499.5,1,1,2,2,112,Lost
8945,2019-12-19,430,1,1638.9,4,1,2,2,412,Potential Loyalists
9167,2019-10-01,509,1,227.97,3,1,1,1,311,Promising
9184,2018-07-04,963,2,26039.44,1,2,5,4,125,Can't Lose Them
9456,2020-07-18,218,2,7130.49,5,2,4,3,524,Potential Loyalists
9812,2021-01-21,31,3,4339.4,5,4,4,4,544,Loyal Customers
9915,2017-09-06,1264,1,13569.0,1,1,5,3,115,At Risk
10039,2019-11-12,467,1,899.97,3,1,2,2,312,Need Attention
10299,2017-01-28,1485,1,419.96000000000004,1,1,1,1,111,Lost
10393,2020-07-20,216,1,2310.0,5,1,3,2,513,Potential Loyalists
11035,2020-02-15,372,1,268.0,4,1,1,1,411,New Customers
12160,2018-06-13,984,2,7465.78,1,2,4,3,124,At Risk
12365,2020-03-14,344,1,1719.97,5,1,2,2,512,Potential Loyalists
12392,2018-12-29,785,1,7988.669999999999,2,1,5,3,215,At Risk
12649,2020-02-20,367,1,62.91,4,1,1,1,411,New Customers
12729,2019-08-21,550,4,6990.45,3,5,4,4,354,Loyal Customers
12859,2019-12-28,421,1,545.68,4,1,1,1,411,New Customers
13045,2018-07-07,960,2,1785.72,1,2,2,2,122,Lost
13071,2020-11-14,99,1,749.0,5,1,1,1,511,New Customers
13365,2021-02-19,2,1,109.0,5,1,1,1,511,New Customers
14069,2018-12-19,795,1,837.0,2,1,1,1,211,About To Sleep
14180,2016-01-19,1860,1,864.78,1,1,2,2,112,Lost
14906,2017-09-07,1263,1,770.42,1,1,1,1,111,Lost
14962,2019-11-01,478,2,15810.83,3,2,5,4,325,Loyal Customers
14988,2019-03-01,723,1,6001.97,2,1,4,2,214,About To Sleep
15391,2018-01-05,1143,1,497.97,1,1,1,1,111,Lost
15718,2020-01-13,405,1,2072.51,4,1,2,2,412,Potential Loyalists
16716,2019-07-15,587,1,1889.08,3,1,2,2,312,Need Attention
17412,2018-09-28,877,3,2083.31,2,4,2,3,242,At Risk
17811,2018-12-20,794,1,2727.2,2,1,3,2,213,About To Sleep
18309,2018-06-13,984,1,511.95,1,1,1,1,111,Lost
18470,2021-02-02,19,3,1811.69,5,4,2,3,542,Potential Loyalists
18493,2016-06-14,1713,1,350.48,1,1,1,1,111,Lost
18887,2017-08-12,1289,1,1328.3600000000001,1,1,2,2,112,Lost
19082,2020-08-22,183,3,4469.97,5,4,4,4,544,Loyal Customers
19207,2019-05-28,635,2,2282.64,2,2,3,2,223,About To Sleep
19404,2020-02-17,370,1,657.0,4,1,1,1,411,New Customers
19534,2018-08-09,927,1,870.02,1,1,2,2,112,Lost
19726,2020-03-06,352,1,857.0,4,1,2,2,412,Potential Loyalists
19753,2018-12-19,795,2,684.85,2,2,1,2,221,About To Sleep
20069,2019-12-19,430,4,3086.31,4,5,3,4,453,Loyal Customers
20092,2019-09-16,524,2,4190.91,3,2,4,3,324,Need Attention
20237,2019-12-31,418,1,5071.45,4,1,4,2,414,Potential Loyalists
20623,2019-12-31,418,3,3760.6800000000003,4,4,3,4,443,Loyal Customers
20946,2018-11-09,835,1,5816.79,2,1,4,2,214,About To Sleep
21203,2016-11-19,1555,1,872.4,1,1,2,2,112,Lost
21424,2020-08-06,199,2,6951.889999999999,5,2,4,3,524,Potential Loyalists
21460,2020-12-26,57,1,3668.88,5,1,3,2,513,Potential Loyalists
21523,2017-02-23,1459,1,10395.99,1,1,5,3,115,At Risk
21575,2016-06-14,1713,1,429.0,1,1,1,1,111,Lost
21819,2019-02-26,726,2,1001.96,2,2,2,2,222,About To Sleep
22540,2019-12-26,423,2,22548.08,4,2,5,4,425,Loyal Customers
23203,2019-12-19,430,3,3243.82,4,4,3,4,443,Loyal Customers
23267,2017-10-26,1214,1,1508.99,1,1,2,2,112,Lost
23320,2019-08-26,545,1,639.96,3,1,1,1,311,Promising
23599,2019-02-09,743,1,3853.96,2,1,3,2,213,About To Sleep
25771,2018-01-06,1142,3,2979.9799999999996,1,4,3,4,143,Can't Lose Them
25864,2019-09-14,526,3,3206.63,3,4,3,4,343,Loyal Customers
26477,2017-10-11,1229,1,7543.879999999999,1,1,5,3,115,At Risk
26642,2016-04-30,1758,1,2194.9300000000003,1,1,3,2,113,Lost
26728,2019-09-29,511,1,13096.96,3,1,5,3,315,Need Attention
27356,2018-07-23,944,2,1572.33,1,2,2,2,122,Lost
27492,2019-12-18,431,3,7054.15,4,4,4,4,444,Loyal Customers
27616,2019-03-09,715,2,2827.51,2,2,3,2,223,About To Sleep
27945,2017-08-25,1276,1,65.98,1,1,1,1,111,Lost
28690,2020-06-27,239,2,905.94,5,2,2,2,522,Potential Loyalists
29041,2017-11-25,1184,1,4610.0,1,1,4,2,114,Lost
29278,2018-12-26,788,1,158.0,2,1,1,1,211,About To Sleep
29475,2019-11-23,456,1,608.64,3,1,1,1,311,Promising
29555,2021-01-20,32,3,4383.4,5,4,4,4,544,Loyal Customers
29647,2018-11-16,828,1,1677.56,2,1,2,2,212,About To Sleep
29689,2020-01-01,417,2,12177.99,4,2,5,4,425,Loyal Customers
29812,2018-07-10,957,1,327.83,1,1,1,1,111,Lost
29973,2020-06-25,241,2,3179.99,5,2,3,2,523,Potential Loyalists
30090,2019-11-09,470,2,1110.96,3,2,2,2,322,Need Attention
31086,2019-07-17,585,1,369.5,3,1,1,1,311,Promising
31164,2017-05-12,1381,1,8059.92,1,1,5,3,115,At Risk
31236,2017-02-11,1471,1,5009.0,1,1,4,2,114,Lost
31784,2019-09-24,516,1,1951.9299999999998,3,1,2,2,312,Need Attention
32037,2018-10-28,847,2,3240.13,2,2,3,2,223,About To Sleep
32455,2017-09-30,1240,1,4425.0,1,1,4,2,114,Lost
32488,2019-12-23,426,1,32.0,4,1,1,1,411,New Customers
32511,2019-07-17,585,1,16082.82,3,1,5,3,315,Need Attention
32538,2020-05-09,288,1,592.0,5,1,1,1,511,New Customers
33036,2018-09-06,899,2,1209.6799999999998,1,2,2,2,122,Lost
33205,2020-02-10,377,4,3871.54,4,5,3,4,453,Loyal Customers
33444,2019-11-02,477,3,10384.91,3,4,5,4,345,Loyal Customers
34081,2018-12-26,788,4,9588.53,2,5,5,5,255,Can't Lose Them
34143,2020-02-03,384,1,4726.0,4,1,4,2,414,Potential Loyalists
34431,2018-07-21,946,1,28.0,1,1,1,1,111,Lost
34850,2017-08-19,1282,2,2477.96,1,2,3,2,123,Lost
34915,2019-07-06,596,1,56.0,3,1,1,1,311,Promising
35257,2019-07-15,587,2,120.78999999999999,3,2,1,2,321,Need Attention
35703,2018-11-14,830,1,715.98,2,1,1,1,211,About To Sleep
35733,2020-06-30,236,3,8441.27,5,4,5,4,545,Loyal Customers
35795,2019-02-16,736,1,8790.72,2,1,5,3,215,At Risk
36112,2019-11-05,474,2,2939.55,3,2,3,2,323,Need Attention
36336,2018-09-01,904,1,1592.2,1,1,2,2,112,Lost
36418,2021-02-08,13,1,1026.88,5,1,2,2,512,Potential Loyalists
36507,2019-12-28,421,2,5605.5,4,2,4,3,424,Loyal Customers
37070,2019-11-07,472,3,8240.35,3,4,5,4,345,Loyal Customers
37251,2018-01-23,1125,1,3779.4900000000002,1,1,3,2,113,Lost
37408,2018-12-01,813,1,4562.95,2,1,4,2,214,About To Sleep
37580,2019-09-21,519,1,599.55,3,1,1,1,311,Promising
37585,2021-02-16,5,1,4032.98,5,1,3,2,513,Potential Loyalists
37802,2019-01-22,761,3,8883.960000000001,2,4,5,4,245,At Risk
37991,2019-11-13,466,2,6893.0,3,2,4,3,324,Need Attention
38006,2018-09-10,895,1,6.99,1,1,1,1,111,Lost
38036,2018-05-31,997,1,1049.8,1,1,2,2,112,Lost
38195,2020-02-15,372,3,6548.02,4,4,4,4,444,Loyal Customers
38212,2019-11-29,450,1,400.99,3,1,1,1,311,Promising
38613,2019-03-07,717,3,6230.1,2,4,4,4,244,At Risk
39246,2016-06-16,1711,1,2154.0,1,1,2,2,112,Lost
39268,2018-11-29,815,1,389.95,2,1,1,1,211,About To Sleep
39314,2018-11-05,839,1,453.56,2,1,1,1,211,About To Sleep
39582,2018-11-24,820,2,5555.0,2,2,4,3,224,At Risk
39592,2018-06-15,982,1,2016.93,1,1,2,2,112,Lost
39894,2016-02-09,1839,1,879.92,1,1,2,2,112,Lost
39927,2018-11-17,827,1,2080.9700000000003,2,1,2,2,212,About To Sleep
40363,2018-11-17,827,1,5489.15,2,1,4,2,214,About To Sleep
40443,2019-10-29,481,1,624.0,3,1,1,1,311,Promising
40649,2019-08-07,564,2,11007.0,3,2,5,4,325,Loyal Customers
40669,2019-02-09,743,1,4359.0,2,1,4,2,214,About To Sleep
41281,2019-09-24,516,2,630.6800000000001,3,2,1,2,321,Need Attention
41570,2020-03-07,351,1,8377.97,4,1,5,3,415,Loyal Customers
42177,2018-02-20,1097,1,2557.87,1,1,3,2,113,Lost
42364,2018-10-09,866,2,8609.39,2,2,5,4,225,At Risk
42408,2019-09-23,517,1,1667.3500000000001,3,1,2,2,312,Need Attention
42840,2019-05-03,660,1,1496.98,2,1,2,2,212,About To Sleep
42956,2019-10-30,480,2,172.99,3,2,1,2,321,Need Attention
43784,2020-01-27,391,1,2915.94,4,1,3,2,413,Potential Loyalists
43840,2020-01-03,415,3,3593.79,4,4,3,4,443,Loyal Customers
44493,2020-06-27,239,2,1043.45,5,2,2,2,522,Potential Loyalists
44728,2019-12-18,431,3,12658.83,4,4,5,4,445,Loyal Customers
45172,2019-05-28,635,1,654.9,2,1,1,1,211,About To Sleep
45250,2019-08-03,568,1,4495.0,3,1,4,2,314,Need Attention
45436,2019-10-18,492,3,1026.46,3,4,2,3,342,Need Attention
45781,2018-06-21,976,1,6.89,1,1,1,1,111,Lost
45814,2021-02-10,11,1,2687.9700000000003,5,1,3,2,513,Potential Loyalists
46155,2020-12-31,52,1,62.0,5,1,1,1,511,New Customers
46917,2016-11-15,1559,1,313.99,1,1,1,1,111,Lost
46996,2016-09-23,1612,1,29.97,1,1,1,1,111,Lost
47518,2018-05-31,997,1,2745.64,1,1,3,2,113,Lost
